wallet,total_transactions,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_deposit_volume,total_borrow_volume,total_repay_volume,account_age_days,avg_tx_interval,liquidation_ratio,repayment_ratio,borrow_utilization,asset_diversity,action_diversity,time_regularity,deposit_size_consistency,credit_score,activity_score,risk_score,reliability_score,sophistication_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1,0,0,0,0,1987.6636548592714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,207,0,180,175,2
0x000000000051d07a4fb3bd10121a343d85818da6,1,1,0,0,0,0,285694480361492.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,285,0,180,175,80
0x000000000096026fb41fc39f9875d164bd82e2dc,2,2,0,0,0,0,5152310624.158186,0.0,0.0,7.574131944444445,7.574131944444445,0.0,0.0,0.0,1,1,0.0,0.64195588298608,303,4,180,190,80
0x0000000000e189dd664b9ab08a33c4839953852c,17,0,0,0,17,0,0.0,0.0,0.0,129.3277662037037,8.082985387731481,0.0,0.0,0.0,4,1,2.4057576260494122,0.0,357,63,180,169,45
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,250,15,4,130,0,2.0657733084285235e+17,6.029762086214079e+16,70150.26379074076,132.8659027777778,0.33383392657733113,0.0,1.1634001937012771e-12,0.2918888564206033,6,4,2.133716438729821,3.927069584745797,477,124,171,127,155
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,7,8,5,5,0,1.8390665686010516e+16,11631.431210321323,11640.280239622172,39.28017361111111,1.636673900462963,0.0,1.0007607859377612,6.32463849265074e-13,5,4,1.7203466466787078,1.043688144113171,584,76,215,153,140
0x000000003853fcedcd0355fec98ca3192833f00b,8,8,0,0,0,0,76376315604.972,0.0,0.0,7.889201388888889,1.1270287698412698,0.0,0.0,0.0,7,1,1.2562645949531117,0.9039882695392774,412,4,180,158,170
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,309,30,16,137,0,4.585861982762903e+17,1.324157609026383e+17,339812873060944.7,123.50150462962964,0.25153055932714796,0.0,0.0025662569979928583,0.28874781099029084,7,4,1.7267095107396717,3.2209085147833383,497,120,171,136,170
0x000000007858e6f2668e1e06111cfa24403a5466,1,1,0,0,0,0,142160666481.45407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,285,0,180,175,80
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1,0,0,0,0,1.7666525037857388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,205,0,180,175,0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,26,24,9,10,0,7.999916941682949e+17,5.975019617796155e+17,5.97568679828446e+17,30.65619212962963,0.45082635484749456,0.0,1.0001116616397907,0.7468852066030557,1,4,5.812684354509739,1.4455013832074566,447,72,193,102,80
0x00000029ff545c86524ade7caf132527707948c4,47,12,12,12,11,0,3.254660503465467e+18,1.759512594809414e+18,1.7435939341859732e+18,2.104513888888889,0.045750301932367156,0.0,0.9909528009799982,0.5406132507325838,4,4,5.207192228787101,1.489636723067827,489,58,199,108,125
0x00000087c4cebffb95746d1935de7fbcab092f40,250,86,62,45,57,0,2.216919941662641e+16,2.316420103419422e+16,1199151322612232.8,100.5072800925926,0.40364369515097426,0.0,0.05176743721236427,1.0448821628092524,8,4,5.461742618603987,6.479309418785995,416,107,150,74,185
0x000000e28faa823d5b53ff6c2922c28335840375,297,107,66,63,61,0,3.134059613762207e+18,2.559678839221803e+18,1.8523440568145644e+18,137.20600694444445,0.4635338072447448,0.0,0.7236626831582186,0.8167294674235942,7,4,8.276899224030188,1.6813511236395775,550,125,181,74,170
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,11,4,1,9,3,4.2849152929215784e+16,2.300705925998673e+16,2.3151274780815504e+16,41.2944212962963,1.529423010973937,0.10714285714285714,1.006268316137195,0.5369314837563535,7,5,2.131753359994891,1.2198157149294162,445,95,182,147,170
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1,0,0,0,0,1.6927543127773312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,205,0,180,175,0
0x00001bc47f0973f794f79c16121cee879e272d6a,4,0,0,0,4,0,0.0,0.0,0.0,47.00429398148148,15.66809799382716,0.0,0.0,0.0,2,1,0.9523330580851638,0.0,322,23,180,204,15
0x00002b503a75998c97508916a74fdb41934fa030,147,27,47,45,28,0,2.2937294172388547e+18,6.178981819947749e+17,4.2714778564618426e+17,125.32153935185185,0.8583667078893963,0.0,0.6912915397601807,0.26938582090410135,7,4,3.316069819692966,1.691620388829916,614,118,196,129,170
0x0000897253cc85f7547317eb2080b36b3255687a,2,1,0,0,1,0,466185762066389.7,0.0,0.0,3.5146064814814815,3.5146064814814815,0.0,0.0,0.0,1,2,0.0,0.0,314,20,180,184,80
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1,0,0,0,0,1.116218296466259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,205,0,180,175,0
0x0000ce08fa224696a819877070bf378e8b131acf,14,3,1,0,10,0,1967476047132.329,1257932658028036.0,0.0,75.77993055555555,5.829225427350427,0.0,0.0,639.3636455506132,4,3,1.3566324207889568,0.7142223001000558,389,75,120,170,125
0x00010a708585ba4812a1c5976182626c75cb7a6b,29,9,6,7,7,0,1143529118181716.0,302687401622063.75,302362674359930.2,79.51586805555556,2.8398524305555557,0.0,0.9989271860659102,0.26469584097985716,6,4,2.497513454397385,1.4208137225670279,603,95,207,145,155
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,2,0,0,0,0,3145759276004.6475,0.0,0.0,1.6416782407407406,1.6416782407407406,0.0,0.0,0.0,1,1,0.0,0.004199210949761896,290,1,180,179,80
0x0002761e848b24046a53d494847b11a3e1d36b09,1,1,0,0,0,0,1002262174437.4797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,285,0,180,175,80
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,2,0,0,0,0,1.0112506095471125,0.0,0.0,7.143796296296296,7.143796296296296,0.0,0.0,0.0,1,1,0.0,0.9998027866087255,220,3,180,186,0
0x0003816b25fd3d6c112eb65c089760fa3f791947,4,1,1,1,1,0,7122699059900504.0,2946593000000001.0,2946950500000006.0,0.001712962962962963,0.0005709876543209877,0.0,1.0001213265625775,0.4136905090640123,2,4,0.5381704688678927,0.0,523,56,203,169,95
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,37,12,5,0,20,0,33171007704367.742,917.4028183810866,0.0,100.84355324074075,2.8012098122427984,0.0,0.0,2.765676661249845e-11,6,3,3.0882785512421678,1.332581783750793,461,87,180,139,155
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,2,1,0,0,1,0,1049.493536649711,0.0,0.0,0.0009722222222222222,0.0009722222222222222,0.0,0.0,0.0,1,2,0.0,0.0,225,19,180,175,1
0x0003f46779806fe779e7f30eec95dbdb4d45840b,24,8,6,5,5,0,2186.046136065428,2095.927039250547,1474.2672201061496,82.84640046296296,3.6020174114331724,0.0,0.7033962502021598,0.9587752996937737,2,4,3.6599415514946054,0.8748529046598282,427,97,176,138,17
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,2,3,1,4,0,994.0621402142455,505.6751402199634,543.4854055313201,82.02820601851852,9.114245113168725,0.0,1.0747718491656713,0.5086957039838351,2,4,1.7667711346543096,0.9760052429782236,487,96,203,172,16
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,1,1,0,0,0,2741759361949003.0,518.3127324254524,0.0,0.0024189814814814816,0.0024189814814814816,0.0,0.0,1.8904384521076473e-13,2,2,0.0,0.0,319,19,180,175,95
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,6,2,1,1,2,0,35395717480350.12,22653259187424.074,22653259187424.074,0.0043518518518518515,0.0008703703703703703,0.0,1.0,0.64,1,4,1.2338361732345182,0.27999999999999997,492,56,196,160,80
0x0005696d4be2359526c497fe4a4c0620b41f2426,7,1,1,1,4,0,735687320698561.5,593.7611376147482,592.9530021211906,0.6429861111111111,0.10716435185185186,0.0,0.9986389552256585,8.07083554261817e-13,4,4,2.088941603418729,0.0,549,57,215,152,125
0x000660cad76200a2e326f53e033919905e6c50f5,1,1,0,0,0,0,1.0648525755563298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,205,0,180,175,0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,1,0,0,0,0,1153676531039.4421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,285,0,180,175,80
0x00080000158a9930aeb508823103b0a977161c47,2,2,0,0,0,0,2617513598912.1426,0.0,0.0,9.988402777777777,9.988402777777777,0.0,0.0,0.0,1,1,0.0,0.2109719145031613,313,5,180,199,80
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,2,0,0,0,0,1058147343307.2289,0.0,0.0,7.811921296296297,7.811921296296297,0.0,0.0,0.0,1,1,0.0,0.999906078820587,302,4,180,188,80
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,1,0,0,0,0,32446847156.000053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,285,0,180,175,80
0x000a27ba176083e4b50177378cbe7469a00dd557,12,4,2,2,4,0,277.8849972393591,160.38631003803744,160.22581757470167,33.186087962962965,3.0169170875420876,0.0,0.9989993381399092,0.5771679350500777,2,4,2.8467780771415376,0.17871254413289792,435,73,198,150,15
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,18,8,5,12,0,1.932663909054446e+16,73564641652974.1,13381.494379508396,25.913368055555555,0.6169849537037037,0.0,1.8190116989399358e-10,0.0038063856477231744,5,4,2.840977595254762,1.615302933457486,424,69,180,135,140
